@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute t0_avg numeric
@attribute t1_avg numeric
@attribute t2_avg numeric
@attribute t3_avg numeric
@attribute a0_avg numeric
@attribute a1_avg numeric
@attribute a2_avg numeric
@attribute a3_avg numeric
@attribute b0_avg numeric
@attribute b1_avg numeric
@attribute b2_avg numeric
@attribute b3_avg numeric
@attribute g0_avg numeric
@attribute g1_avg numeric
@attribute g2_avg numeric
@attribute g3_avg numeric
@attribute mood {0,1,2,3}
@attribute facialExpression {0,1,2,3}

@data
78,'2018/09/14 15:06:52:705',85,0.110361,-0.232866,-0.414541,0.104823,0.791785,-0.359566,-0.306198,0.786593,0.21812,-0.50407,-0.49991,0.156279,-0.43044,-1.005517,-0.88906,-0.444187,1,?
79,'2018/09/14 15:06:52:886',86,0.075992,-0.239533,-0.40055,0.111906,0.866349,-0.348916,-0.314237,0.903542,0.245944,-0.495676,-0.481689,0.151002,-0.443463,-1.023045,-0.916898,-0.443256,1,?
80,'2018/09/14 15:06:53:071',87,0.031899,-0.256128,-0.370134,0.11109,0.963244,-0.336103,-0.293042,0.960022,0.264023,-0.482941,-0.481074,0.107989,-0.492898,-1.064229,-0.983984,-0.457853,1,?
81,'2018/09/14 15:06:53:221',88,0.022036,-0.288047,-0.358218,0.123141,0.970931,-0.369762,-0.257702,0.95751,0.26422,-0.482322,-0.496732,0.069609,-0.526967,-1.088318,-1.046008,-0.477657,1,?
82,'2018/09/14 15:06:53:387',89,0.015007,-0.382988,-0.393582,0.139309,0.970931,-0.401208,-0.274687,0.953595,0.249105,-0.497395,-0.523178,0.034253,-0.515749,-1.084056,-1.114236,-0.488115,1,?
83,'2018/09/14 15:06:53:523',90,-0.002591,-0.463836,-0.432861,0.135695,0.970931,-0.391927,-0.279707,0.953177,0.23447,-0.507839,-0.541594,0.010659,-0.482162,-1.070456,-1.157927,-0.481774,1,?
84,'2018/09/14 15:06:53:673',91,-0.080094,-0.536727,-0.450335,0.096608,0.96986,-0.392894,-0.250418,0.953082,0.221728,-0.519414,-0.560702,-0.013787,-0.440137,-1.078289,-1.197463,-0.454102,1,?
85,'2018/09/14 15:06:53:956',93,-0.299206,-0.600449,-0.425985,0.003017,0.942408,-0.411974,-0.157277,0.953241,0.204423,-0.538896,-0.589018,-0.008271,-0.40792,-1.097616,-1.207192,-0.393343,1,?
86,'2018/09/14 15:06:54:104',94,-0.353152,-0.611389,-0.414216,-0.035181,0.938418,-0.413084,-0.159973,0.951753,0.184068,-0.546727,-0.606717,-0.011457,-0.398467,-1.080058,-1.186122,-0.381172,1,?
87,'2018/09/14 15:06:54:270',95,-0.366157,-0.605397,-0.38604,-0.101303,0.937713,-0.413084,-0.198963,0.934938,0.134944,-0.562179,-0.64974,-0.027394,-0.381681,-1.047481,-1.141786,-0.384737,1,?
88,'2018/09/14 15:06:54:421',96,-0.336716,-0.579074,-0.381589,-0.129751,0.937326,-0.400656,-0.214018,0.908858,0.100944,-0.571173,-0.679881,-0.026789,-0.369886,-1.041272,-1.125679,-0.395098,1,?
89,'2018/09/14 15:06:54:570',97,-0.314151,-0.533433,-0.397777,-0.160098,0.919071,-0.353687,-0.21075,0.861747,0.056333,-0.578715,-0.700742,-0.008247,-0.355503,-1.045414,-1.118267,-0.3915,1,?
90,'2018/09/14 15:06:54:704',98,-0.317553,-0.49766,-0.405558,-0.187222,0.85721,-0.304799,-0.17774,0.843723,0.027956,-0.580414,-0.695492,0.012589,-0.350397,-1.048787,-1.10866,-0.376112,1,?
91,'2018/09/14 15:06:54:852',99,-0.321866,-0.446794,-0.39317,-0.215846,0.760642,-0.267586,-0.127098,0.850073,-0.000121,-0.583843,-0.673417,0.047571,-0.351547,-1.041172,-1.081708,-0.352097,1,?
92,'2018/09/14 15:06:55:003',100,-0.269166,-0.422653,-0.360205,-0.185208,0.751722,-0.24938,-0.095755,0.866785,0.004177,-0.601307,-0.646167,0.088556,-0.367466,-0.997639,-1.04239,-0.342345,1,?
93,'2018/09/14 15:06:55:188',101,-0.179488,-0.405714,-0.34944,-0.157511,0.751722,-0.239395,-0.077638,0.867538,0.012158,-0.626775,-0.63137,0.125243,-0.381477,-0.954133,-1.009532,-0.349261,1,?
94,'2018/09/14 15:06:55:320',102,-0.132099,-0.383909,-0.354953,-0.170392,0.751722,-0.235067,-0.075842,0.863343,0.004888,-0.642305,-0.634605,0.133077,-0.378944,-0.947309,-0.999689,-0.361822,1,?
95,'2018/09/14 15:06:55:472',103,-0.055539,-0.342136,-0.36944,-0.205493,0.753769,-0.225616,-0.095483,0.823175,-0.031729,-0.676789,-0.639774,0.129273,-0.358848,-0.955361,-0.99527,-0.392299,1,?
96,'2018/09/14 15:06:55:634',104,0.003483,-0.324559,-0.396705,-0.215134,0.77234,-0.220967,-0.108406,0.736367,-0.080978,-0.703557,-0.612881,0.120024,-0.333307,-0.970681,-0.99799,-0.413757,1,?
97,'2018/09/14 15:06:55:787',105,0.035474,-0.32513,-0.426754,-0.207853,0.780227,-0.220816,-0.103012,0.724961,-0.103747,-0.709795,-0.580906,0.114933,-0.323806,-0.972467,-0.994123,-0.416945,1,?
98,'2018/09/14 15:06:56:255',108,0.226877,-0.459676,-0.565642,-0.1014,0.761878,-0.270775,-0.091231,0.917565,-0.094484,-0.711939,-0.480655,0.052823,-0.346118,-0.931468,-0.902973,-0.461976,1,?
